qid,question
0,Nhà đầu tư nước ngoài tham gia thị trường chứng khoán Việt Nam thế nào?
1,"Để được nhập khẩu màn hình điện thoại đã qua sử dụng từ đối tác của Mỹ nhằm thực hiện hợp đồng gia công tại Việt Nam, công ty tôi cần phải có điều kiện gì?"
2,Mức phạt khi điều khiển xe ô tô kinh doanh vận tải hành khách có kích thước hầm xe không đúng thiết kế đã đăng ký
3,"Cho tôi hỏi, trong thời gian bao lâu thì cơ quan có thẩm quyền cấp giấy phép gia hạn, điều chỉnh nội dung  giấy phép hoạt động trong phạm vi bảo vệ công trình thủy lợi như: du lịch, thể thao, nghiên cứu khoa học, kinh doanh, dịch vụ; Nuôi trồng thủy sản; Nổ mìn và các hoạt động gây nổ khác?"
4,Chứng chỉ rừng quốc tế là gì?
5,Điều kiện để được thuê nhà ở công vụ của Chính phủ?
6,"Thẩm quyền ban hành quy tắc ứng xử của người có chức vụ, quyền hạn trong cơ quan, tổ chức, đơn vị?"
7,Tai nạn giao thông đường sắt được quy định như thế nào?
8,"Phòng Nông nghiệp có được thu phí, lệ phí thú y không?"
9,Trúng tuyển kì thi tuyển dụng của đơn vị sự nghiệp có phải là viên chức không?
10,Các biện pháp khắc phục hậu quả khác trong lĩnh vực giao thông đường sắt
11,Tên của quỹ đầu tư chứng khoán và công ty đầu tư chứng khoán được quy định như thế nào?
12,Người dịch là cộng tác viên của Phòng Tư pháp có phải ký trước mặt người thực hiện chứng thực không?
13,Viên chức nghiện ma túy không có xác nhận của cơ sở y tế có bị kỷ luật buộc thôi việc?
14,Công ty TNHH một thành viên có thể chuyển đổi thành công ty TNHH hai thành viên trở lên do chủ sở hữu công ty sử dụng một phần vốn điều lệ để trả nợ được không?
15,Khiếu nại và giải quyết khiếu nại hành vi vi phạm pháp luật về bình đẳng giới được quy định như thế nào?
16,"Đề nghị cho biết đối tượng phải lập phương án ứng phó thiên tai cho công trình, vùng hạ du đập trong quá trình thi công?"
